Qwen3-Coder,,,,,,,,,"Qwen3 Coder 480B A35B Instruct is a state-of-the-art 480B-parameter Mixture-of-Experts model (35B active) that achieves top-tier performance across multiple agentic coding benchmarks. Supports 256K native context length and scales to 1M tokens with extrapolation. All data provided will not be used in training, and is sent only to Fireworks AI, a US-based company.",,,,,,,,,
Qwen3-Coder-30B-A3B,,,,,,,,,"Qwen3-Coder-30B-A3B-Instruct is a 30-billion parameter coding-specialized LLM with 256K token context length, enabling repository-scale code understanding. It excels at autonomous coding tasks and agentic workflows, capable of writing, debugging, and executing complex programming operations independently.",,,,,,,,,
Qwen3-Coder-480B-FW,Alibaba,Not Found,256000,None,No,None,Specialized,Optimized,Scales to 1M tokens with extrapolation. Data sent to Fireworks AI.,,,,,,,,,
Qwen3-Coder-480B-N,Alibaba,Not Found,256000,None,No,None,Specialized,Optimized,Claude Sonnet-comparable performance on agentic coding.,,,,,,,,,
Qwen3-Coder-480B-T,Alibaba,Not Found,262144,None,No,None,Specialized,Optimized,480B total parameters MoE model for code generation.,,,,,,,,,
QwQ-32B-B10,Alibaba,Not accessible,131072,None,No,None,High,Optimized,Medium-sized reasoning model from the Qwen series. Blazing-fast speed.,,,,,,,,,
QwQ-32B-Preview-T,Alibaba,320 points,Not Found,None,No,None,High,Optimized,Experimental research model focused on advancing AI reasoning capabilities.,,,,,,,,,
QwQ-32B-T,Alibaba,Not accessible,131000,None,No,None,High,Optimized,"Compact, 32B open-source reasoning model.",,,,,,,,,
Reka-Core,Reka,1250 points,8000,None,"Yes (Image, Video)",None,Standard,Standard,Reka's largest and most capable multimodal model.,,,,,,,,,
Reka-Flash,Reka,40 points,Not Found,None,"Yes (Image, Video)",None,Standard,Standard,Efficient 21B multimodal model optimized for fast workloads.,,,,,,,,,
Reka-Research,Reka,Not Found,Not Found,None,No,Dedicated,Standard,Optimized,State-of-the-art agentic AI that browses the web.,,,,,,,,,
Solar-Pro-2,Upstage,Not Found,64000,None,No,Integrated,High,Optimized,31B parameter model with world-class multilingual support.,,,,,,,,,
Tako,,Not accessible,Not Found,--specificity,No,Dedicated,Standard,Standard,"Transforms questions into interactive, shareable knowledge cards.",,,,,,,,,
Web-Search,Google,Variable points,Not Found,None,No,Dedicated,Standard,Standard,Powered by Gemini 2.0 Flash.Deepseek-V3-FW,DeepSeek,300 points,131000,None,No,None,High,Optimized,"Data sent to Fireworks, a US-based company."
